DATE,GDP,GDPDEF,HOANBS,PNFI,PCE,CNP16OV,ford_tfp,dtfp_util,GDPpc,PCEpc,PNFIpc,HOANBSpc,LABOR_PROD
1954Q1,385.345,14.533,48.876,38.332,,107876.66666666667,-1.09526435112664,5.3302338407907754,-831.1026766968612,,-1061.8880747409585,-794.2458821765551,-61.15693671758207
1954Q2,386.121,14.546,48.51,38.159,,108177.0,0.63737814926798,3.101578640527126,-831.2689303369231,,-1062.7078454428743,-794.9762412696394,-60.29352121439787
1954Q3,390.996,14.565,48.322,38.879,,108443.33333333333,-0.064577011382391,3.8382062123261855,-830.3907102762271,,-1061.2150173419418,-793.3528783008021,-58.781100415585264
1954Q4,399.734,14.605,48.921,38.89,,108786.0,0.042058599394233,1.9068635114876216,-828.7702538596161,,-1061.7764716325912,-793.6400780486208,-58.07713620895477
1955Q1,413.073,14.673,49.705,39.48,,109130.33333333333,0.1191625091968,-1.562776392068737,-826.268290299927,,-1061.051302122356,-792.450395099823,-56.84902690998673
1955Q2,421.532,14.734,50.358,42.063,,109533.66666666667,0.25413965014086,1.3163750466224782,-825.0249293490931,,-1055.4976492979715,-786.4818744719094,-56.54195486934782
1955Q3,430.221,14.837,50.886,44.826,,109883.66666666667,-0.404222320442064,1.56620663754262,-824.000254021067,,-1050.1513242136073,-780.4389181167417,-56.241286742915264
1955Q4,437.092,14.984,51.497,47.085,,110186.0,-2.31373288488998,-5.677997401826126,-823.6764391776142,,-1046.4953612067939,-775.7970646926152,-56.83628194337304
1956Q1,439.746,15.134,51.812,47.772,,110483.33333333333,-1.11239583815414,2.040307314255097,-824.3366539774776,,-1046.3124133467577,-774.6180265195247,-57.83683634413581
1956Q2,446.01,15.224,51.923,49.062,,110787.66666666667,0.005749236326888,6.497509593239473,-823.7902492127512,,-1044.5159061012987,-772.2285931019138,-57.229360862889365
1956Q3,451.191,15.415,51.713,50.746,,111113.33333333333,-1.7851249324577,-2.1363666933889567,-824.1756288589773,,-1042.6814244684545,-769.1473183346432,-56.91595087446585
1956Q4,460.463,15.477,52.0,51.41,,111431.0,1.53435666126818,2.8477820560358342,-822.8283390156466,,-1042.068318910796,-768.1328138177338,-55.836626449314316
